PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS
,1131,02/07/24,LISA'S TENDER LEAN MEAT,"POLO SHIRTS H.C., 6@420",,"2,520.00",
,1132,,PHILHEALTH XI,VARIOUS ITEMS,,"5,256.00",
,1133,02/13/24,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"75,286.00",
,1134,02/13/24,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"39,492.00",
,1135,02/13/24,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"103,000.00",
,1136,02/13/24,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"7,555.00",
,1137,02/14/24,POPCOM XI,"ADVOCACY POLOSHIRTS MAROON, 100@370; ADVOCACY POLOSHIRTS GRAY, 100@370",2024-01-007,"74,000.00",
,1138,02/09/24,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TARP 1 FT X 2 FT, 15@36",,540.00,
,1139,02/16/24,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"DTV BREAKFAST OF CHAMPIONS PULL UP TARP, 2@450",,900.00,
,1140,02/19/24,FULL POTENTIAL SOLUTIONS PHILIPPINES INC. ,"TABLE TOPPER SIGNS 8 X 10 M, 3@250; TABLE TOPPER 6.5 X 5.3, 7@1050",,"1,800.00",
,1141,,PSA XI,"UMBRELLA NICTHS, 71@300",SOCD-2024-01-12,"21,300.00",
,1142,,PSA XI,"POLO SHIRT 2023 FOR NICTHS, 94 PCS",SOCD-2024-01-11,"32,900.00",
,1143,,PHILHEALTH XI,"TOKEN PHILHEALTH 29TH ANNIVERSARY ON FEB 14, 2024, 15 PCS",24-02-029,"3,500.00",
,1144,,PSA XI,"POLOSHIRT W/ PRINT, 253@440; UMBRELLA, 106@320",SOCD-2024-01-08,"145,240.00",
,1145,02/23/24,DETAILS ONLINE INRIVER PHILIPPINES,"FROSTED STICKER W/ INSTALLATION, 3 GLASS PANEL, 2 GLASS DOOR, 1 LOT@25000",,"25,000.00",
,1146,,PSA XI,"POLOSHIRT, 38@450",SOCD-2024-02-02,"17,100.00",
,1147,02/26/24,DILG DAVAO CITY,"FABRICATION OF 1 UNIT DILG BANNER, 1@3500",2024-02,"3,500.00",
,1148,02/27/24,DAVAO CENTRAL CHEMICAL CORPORATION,"POLOSHIRT UNIFORM ADMIN, 61@520; LONG SLEEVES UNIFORM ADMIN, 29@580",0000365,"48,540.00",
,1149,02/27/24,DAVAO CENTRAL CHEMICAL CORPORATION,"POLOSHIRT UNIFORM FOR PRODUCTION/POLOSHIRT UNIFORM W/ POCKET AND COMPANY LOGO, 41@520; LONGSLEEVE UNIFORM PRODUCTION, 115@580",0000366,"88,020.00",
,1150,,NIA DIGOS CITY,"JACKET W/ EMBROIDERY, 84@850",,"71,400.00",
9,1151,12/11/23,NIA DAVAO SUR,"POLOSHIRTS, 26@550",,"14,300.00",
,1152,,PHILIPPINE FISHERIES DEVELOPMENT AUTHORITY,"GAD T-SHIRT, 41@240",,"9,840.00",
,1153,02/28/2024,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"54,910.00",
,1154,02/29/24,USEP,"MEDAL 2x2 IN, 20@60; PLAQUE DIAMOND-SHAPED ACRYLIC, 3@700; TOKEN (BUTTON PINS, KEYCHAIN, MUG, TOTEBAG",2024-02-0073,"5,400.00",
,1155,02/29/24,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"BANNER, 1@500",,500.00,
,1156,03/05/24,PAG-IBIG FUND,"ADVOCACY CUSTOMIZED TOKEN CLOTH, 762@80",2024-02-014,"60,960.00",
,1157,03/06/24,DEPARTMENT OF TOURISM XI,POLOSHIRT WOMEN'S MONTH THEME,2024-032,,
,1158,03/06/24,FPS TECH PHILIPPINES INC.,"PULLUP ROLLUP, 1@1600; TARP, 2@450",,2500,
,1159,,BFP XI,"SUBLIMATION TSHIRT, 150@700; TARPAULIN, 1@1152",LOG-2024-02-019,"106,152.00",
,1160,,BFP XI,"NATIONAL FIRE OLYMPICS UNFORM, 41@2000",LOG-2024-02-026,"82,000.00",
,1161,03/07/24,NIA XI,"POLOSHIRT, 122@400",,"48,800.00",
,1162,,BUCOR,"TSHIRT W/ PRINT, 49@200",,"49,800.00",
,1163,,PHILHEALTH XI,"TSHIRT FOR WOMENS MONTH, 20@240",,"4,800.00",
,1164,,PHILHEALTH XI,"TARP, 1@79; TARP WOMENS MONTH, 4@576",,"3,096.00",
,1165,03/12/24,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRT, 42@380",NR2023-35285,"15,960.00",
,1166,03/12/24,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRTS, 20@380",,"7,600.00",
,1167,,DILG DAVAO CITY,"POLOSHIRT, 30@500",2024-03,"15,000.00",
,1168,03/13/24,FULL POTENTIAL SOLUTIONS PHILIPPINES INC. ,"VACUUM INSULATED MUG, 40@250; FOLDABLE UMBRELLA, 40@250",,"20,000.00",CANCELELD
,1169,03/20/24,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRT, 15@450",204-358,"6,750.00",
,1170,03/20/24,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRT WHITE, 9@380",240-245,"3,420.00",
,1171,03/20/24,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,VARIOUS POLOSHIRTS,202-198,"20,900.00",
,1172,03/20/24,PAG-IBIG FUND,TARPAULINS,SSWM-24-02-242,"2,748.00",
,1173,03/21/24,DMSFI,"TARP, 4@225",,900.00,
,1174,03/22/24,PSA XI,"PLAQUE, 6@1600; MEDALS, 6@900",SOCD-2024-03-02,"11,400.00",
,1175,03/25/24,CK CITYMALL ,OUTDOOR STICKER,21000018135,257.13,
,1176,03/25/24,JOLLIBEE BOLTON,OUTDOOR STICKER,2100038134,227.67,
,1177,03/25/24,WESTERN INTERWEB NETWORK INC.,"TSHIRT PRINT ONLY, 100@60",WIN-5028,"6,000.00",
,1178,03/25/24,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"WALL BRANDING, 1 LOT@315000",124257,"315,000.00",
,1179,03/25/24,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"DTV BRANDING, 1 LOT@111500",123907,"111,500.00",
,1180,03/25/24,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"REPLACEMENT TEXTILE ON BOARD, 1 LOT@284875",123985,"284,875.00",
,1181,03/25/24,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"ABG WALL BRADNING, 1 LOT@715263",124369,"715,263.00",
,1182,03/25/24,MAXICARE HEALTHCARE CORP.,"SUPLY & INSTALLATION OF ACRYLIC FRAME, 1 LOT@4700",2600007931,"4,700.00",
,1183,,,,,,
,1184,,,,,,
,1185,,,,,,
,1186,,,,,,
,1187,,,,,,
,1188,,,,,,
,1189,,,,,,
,1190,,,,,,
,1191,,,,,,
,1192,,,,,,
,1193,,,,,,
,1194,,,,,,
,1195,,,,,,
,1196,,,,,,
,1197,,,,,,
,1198,,,,,,
,1199,,,,,,
,1200,,,,,,
10,1201,,,,,,
,1202,,,,,,
,1203,,,,,,
,1204,,,,,,
,1205,,,,,,
,1206,,,,,,
,1207,,,,,,
,1208,,,,,,
,1209,,,,,,
,1210,,,,,,
,1211,,,,,,
,1212,,,,,,
,1213,,,,,,
,1214,,,,,,
,1215,,,,,,
,1216,,,,,,
,1217,,,,,,
,1218,,,,,,
,1219,,,,,,
,1220,,,,,,
,1221,,,,,,
,1222,,,,,,
,1223,,,,,,
,1224,,,,,,
,1225,,,,,,
,1226,,,,,,
,1227,,,,,,
,1228,,,,,,
,1229,,,,,,
,1230,,,,,,
,1231,,,,,,
,1232,,,,,,
,1233,,,,,,
,1234,,,,,,
,1235,,,,,,
,1236,,,,,,
,1237,,,,,,
,1238,,,,,,
,1239,,,,,,
,1240,,,,,,
,1241,,,,,,
,1242,,,,,,
,1243,,,,,,
,1244,,,,,,
,1245,,,,,,
,1246,,,,,,
,1247,,,,,,
,1248,,,,,,
,1249,,,,,,
,1250,,,,,,
,1251,,,,,,
,1252,,,,,,
,1253,,,,,,
,1254,,,,,,
,1255,,,,,,
,1256,,,,,,
,1257,,,,,,
,1258,,,,,,
,1259,,,,,,
,1260,,,,,,
,1261,,,,,,
,1262,,,,,,
,1263,,,,,,
,1264,,,,,,
,1265,,,,,,
,1266,,,,,,
,1267,,,,,,
,1268,,,,,,
,1269,,,,,,
,1270,,,,,,
,1271,,,,,,
,1272,,,,,,
,1273,,,,,,
,1274,,,,,,
,1275,,,,,,
,1276,,,,,,
,1277,,,,,,
,1278,,,,,,
,1279,,,,,,
,1280,,,,,,
,1281,,,,,,
,1282,,,,,,
,1283,,,,,,
,1284,,,,,,
,1285,,,,,,
,1286,,,,,,
,1287,,,,,,
,1288,,,,,,
,1289,,,,,,
,1290,,,,,,
,1291,,,,,,
,1292,,,,,,
,1293,,,,,,
,1294,,,,,,
,1295,,,,,,
,1296,,,,,,
,1297,,,,,,
,1298,,,,,,
,1299,,,,,,
,1300,,,,,,
,1301,,,,,,
,1302,,,,,,
,1303,,,,,,
,1304,,,,,,
,1305,,,,,,
,1306,,,,,,
,1307,,,,,,
,1308,,,,,,
,1309,,,,,,
,1310,,,,,,
,1311,,,,,,
,1312,,,,,,
,1313,,,,,,
,1314,,,,,,
,1315,,,,,,
,1316,,,,,,
,1317,,,,,,
,1318,,,,,,
,1319,,,,,,
,1320,,,,,,
,1321,,,,,,
,1322,,,,,,
,1323,,,,,,
,1324,,,,,,
,1325,,,,,,
,1326,,,,,,
,1327,,,,,,
,1328,,,,,,
,1329,,,,,,
,1330,,,,,,
,1331,,,,,,
,1332,,,,,,
,1333,,,,,,
,1334,,,,,,
,1335,,,,,,
,1336,,,,,,
,1337,,,,,,
,1338,,,,,,
,1339,,,,,,
,1340,,,,,,
,1341,,,,,,
,1342,,,,,,
,1343,,,,,,
,1344,,,,,,
,1345,,,,,,
,1346,,,,,,
,1347,,,,,,
,1348,,,,,,
,1349,,,,,,
,1350,,,,,,
,1351,,,,,,
,1352,,,,,,
,1353,,,,,,
,1354,,,,,,
,1355,,,,,,
,1356,,,,,,
,1357,,,,,,
,1358,,,,,,
,1359,,,,,,
,1360,,,,,,
,1361,,,,,,
,1362,,,,,,
,1363,,,,,,
,1364,,,,,,
,1365,,,,,,
,1366,,,,,,
,1367,,,,,,
,1368,,,,,,
,1369,,,,,,
,1370,,,,,,
,1371,,,,,,
,1372,,,,,,
,1373,,,,,,
,1374,,,,,,
,1375,,,,,,
,1376,,,,,,
,1377,,,,,,
,1378,,,,,,
,1379,,,,,,
,1380,,,,,,
,1381,,,,,,
,1382,,,,,,
,1383,,,,,,
,1384,,,,,,
,1385,,,,,,
,1386,,,,,,
,1387,,,,,,
,1388,,,,,,
,1389,,,,,,
,1390,,,,,,
,1391,,,,,,
,1392,,,,,,
,1393,,,,,,
,1394,,,,,,
,1395,,,,,,
,1396,,,,,,
,1397,,,,,,
,1398,,,,,,
,1399,,,,,,
,1400,,,,,,
,1401,,,,,,
,1402,,,,,,
,1403,,,,,,
,1404,,,,,,
,1405,,,,,,
,1406,,,,,,
,1407,,,,,,
,1408,,,,,,
,1409,,,,,,
,1410,,,,,,
,1411,,,,,,
,1412,,,,,,
,1413,,,,,,
,1414,,,,,,
,1415,,,,,,
,1416,,,,,,
,1417,,,,,,
,1418,,,,,,
,1419,,,,,,
,1420,,,,,,
,1421,,,,,,
,1422,,,,,,
,1423,,,,,,
,1424,,,,,,
,1425,,,,,,
,1426,,,,,,
,1427,,,,,,
,1428,,,,,,
,1429,,,,,,
,1430,,,,,,
,1431,,,,,,
,1432,,,,,,
,1433,,,,,,
,1434,,,,,,
,1435,,,,,,
,1436,,,,,,
,1437,,,,,,
,1438,,,,,,
,1439,,,,,,
,1440,,,,,,
,1441,,,,,,
,1442,,,,,,
,1443,,,,,,
,1444,,,,,,
,1445,,,,,,
,1446,,,,,,
,1447,,,,,,
,1448,,,,,,
,1449,,,,,,
,1450,,,,,,
,1451,,,,,,
,1452,,,,,,
,1453,,,,,,
,1454,,,,,,
,1455,,,,,,
,1456,,,,,,
,1457,,,,,,
,1458,,,,,,
,1459,,,,,,
,1460,,,,,,
,1461,,,,,,
,1462,,,,,,
,1463,,,,,,
,1464,,,,,,
,1465,,,,,,
,1466,,,,,,
,1467,,,,,,
,1468,,,,,,
,1469,,,,,,
,1470,,,,,,
,1471,,,,,,
,1472,,,,,,
,1473,,,,,,
,1474,,,,,,
,1475,,,,,,
,1476,,,,,,
,1477,,,,,,
,1478,,,,,,
,1479,,,,,,
,1480,,,,,,
,1481,,,,,,
,1482,,,,,,
,1483,,,,,,
,1484,,,,,,
,1485,,,,,,
,1486,,,,,,
,1487,,,,,,
,1488,,,,,,
,1489,,,,,,
,1490,,,,,,
,1491,,,,,,
,1492,,,,,,
,1493,,,,,,
,1494,,,,,,
,1495,,,,,,
,1496,,,,,,
,1497,,,,,,
,1498,,,,,,
,1499,,,,,,
,1500,,,,,,
,1501,,,,,,
,1502,,,,,,
,1503,,,,,,
,1504,,,,,,
,1505,,,,,,
,1506,,,,,,
,1507,,,,,,
,1508,,,,,,
,1509,,,,,,
,1510,,,,,,
,1511,,,,,,
,1512,,,,,,
,1513,,,,,,
,1514,,,,,,
,1515,,,,,,
,1516,,,,,,
,1517,,,,,,
,1518,,,,,,
,1519,,,,,,
,1520,,,,,,
,1521,,,,,,
,1522,,,,,,
,1523,,,,,,
,1524,,,,,,
,1525,,,,,,
,1526,,,,,,
,1527,,,,,,
,1528,,,,,,
,1529,,,,,,
,1530,,,,,,
,1531,,,,,,
,1532,,,,,,
,1533,,,,,,
,1534,,,,,,
,1535,,,,,,
,1536,,,,,,
,1537,,,,,,
,1538,,,,,,
,1539,,,,,,
,1540,,,,,,
,1541,,,,,,
,1542,,,,,,
,1543,,,,,,
,1544,,,,,,
,1545,,,,,,
,1546,,,,,,
,1547,,,,,,
,1548,,,,,,
,1549,,,,,,
,1550,,,,,,
,1551,,,,,,
,1552,,,,,,
,1553,,,,,,
,1554,,,,,,
,1555,,,,,,
,1556,,,,,,
,1557,,,,,,
,1558,,,,,,
,1559,,,,,,
,1560,,,,,,
,1561,,,,,,
,1562,,,,,,
,1563,,,,,,
,1564,,,,,,
,1565,,,,,,
,1566,,,,,,
,1567,,,,,,
,1568,,,,,,
,1569,,,,,,
,1570,,,,,,
,1571,,,,,,
,1572,,,,,,
,1573,,,,,,
,1574,,,,,,
,1575,,,,,,
,1576,,,,,,
,1577,,,,,,
,1578,,,,,,
,1579,,,,,,
,1580,,,,,,
,1581,,,,,,
,1582,,,,,,
,1583,,,,,,
,1584,,,,,,
,1585,,,,,,
,1586,,,,,,
,1587,,,,,,
,1588,,,,,,
,1589,,,,,,
,1590,,,,,,
,1591,,,,,,
,1592,,,,,,
,1593,,,,,,
,1594,,,,,,
,1595,,,,,,
,1596,,,,,,
,1597,,,,,,
,1598,,,,,,
,1599,,,,,,
,1600,,,,,,
,1601,,,,,,
,1602,,,,,,
,1603,,,,,,
,1604,,,,,,
,1605,,,,,,
,1606,,,,,,
,1607,,,,,,
,1608,,,,,,
,1609,,,,,,
,1610,,,,,,
,1611,,,,,,
,1612,,,,,,
,1613,,,,,,
,1614,,,,,,
,1615,,,,,,
,1616,,,,,,
,1617,,,,,,
,1618,,,,,,
,1619,,,,,,
,1620,,,,,,
,1621,,,,,,
,1622,,,,,,
,1623,,,,,,
,1624,,,,,,
,1625,,,,,,
,1626,,,,,,
,1627,,,,,,
,1628,,,,,,
,1629,,,,,,
,1630,,,,,,
,1631,,,,,,
,1632,,,,,,
,1633,,,,,,
,1634,,,,,,
,1635,,,,,,
,1636,,,,,,
,1637,,,,,,
,1638,,,,,,
,1639,,,,,,
,1640,,,,,,
,1641,,,,,,
,1642,,,,,,
,1643,,,,,,
,1644,,,,,,
,1645,,,,,,
,1646,,,,,,
,1647,,,,,,
,1648,,,,,,
,1649,,,,,,
,1650,,,,,,
,1651,,,,,,
,1652,,,,,,
,1653,,,,,,
,1654,,,,,,
,1655,,,,,,
,1656,,,,,,
19,1657,01/10/25,FPS TECH PHILIPPINES INC.,"JACKET OUTDOOR W/ HOOD, 2@1200; ROLLUP TARP, 6@450",,"5,100.00",
,1658,01/14/25,NIA XI,JACKET CUSTOMIZE W/ LOGO EMBROIDERY; 131@800,MISC-2025-01-007,"104,800.00",
,1659,01/14/25,METRO CITY CHOW FOODS CORP CK CITY HALL,"11 IN X 4.25 IN CLEAR STICKER ACRYLIC, 3@65; 3 FT X 3 IN CLEAR STICKER; 2@150; 2 FT X 1 FT SINTRA BOARD, 1@320",,"1,010.00",
,1660,01/15/25,WESTERN INTERWEB NETWORK INC.,"POSTER 28 IN X 40 FT W/ INSTALLATION, 2@1000",79807,"2,000.00",
,1661,01/20/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"38,880.00",
,1662,01/20/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"15,742.50",
,1663,01/20/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"9,198.00",
,1664,01/20/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"460,000.00",
,1665,01/20/25, FLATWORLD SOLUTIONS (PHILIPPINES) INC.,"HOODIE JACKET W/ LOGO, 12@850",,"10,200.00",
,1666,,NIA - DIGOS,"JACKET, 118@800",,"94,400.00",
,1667,,,,,,NO CONTENT
,1668,,PSA,"38TH CIVIL REGISTRATION POLO SHIRTS, 90@430",24-10-RASP-64,"38,700.00",
,1669,01/27/25,DCCC,"PRINTING SACK, 300@7",89092,"2,100.00",
,1670,01/28/25,DCCC,"PRINT SACK BLUE, 300@7",,"2,100.00",
,1671,,WESTERN INTERWEB NETWORK INC.,"BLACK LONGLSEEVE 2XL, 6@350; BLACK LONGSLEEVE XL, 45@230, BLACK LONGSLEEVE L, 45@230",WM7926,"22,800.00",
,1672,01/30/25,DMSFI,"HOODIE DENTISTRY 2, 3@650",,"1,750.00",
,1673,01/30/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"23,483.50",
,1674,01/30/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"BANTING, 1500@9.50",,"14,250.00",
,1675,01/30/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TSHIRT , 14@280; ROLLUP, 3@450; HANGING TARP, 1@550",,"5,820.00",
,1676,01/31/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"CANCERVIVOR TSHIRT, 50@230",222046,"11,500.00",
,1677,01/31/25,FPS TECH PHILIPPINES INC.,"PLAQUE, 11@1100",,"12,100.00",
,1678,,PSA - DAVAO DEL SUR,"PLAQUE OF RECOGNITION, 3@2400",,"7,200.00",
,1679,02/04/25,BSP MROXI,"POSTER SINTRA BOARD, 1@2200",6600001319,"2,200.00",
,1680,02/03/25,UP MINDANAO,"STAINLESS MUG INSULATED, 10@500",2025-01-0015,"5,000.00",
,1681,02/05/25,ABREEZA BEE FODS CORP.,OUTDOOR STICKER,,143.90,
,1682,02/05/25,CK GMALL,OUTDOOR STICKER,104-01-2025-080,654.46,
,1683,,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"LESLIE'S CUTOUT WALL, 1 LOT@257196",,"257,196.00",CANCELLED
,1684,,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"RED ROOF WALL BRANDING CUTOUT, 1 LOT@87500",36-1002673,"87,500.00",
,1685,,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"PRODUCTION LESLIE'S WALL CUTOUT BRANDING, 1 LOT@257196",36-100-2130,"257,196.00",
,1686,,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"RED ROOF WALL CUTOUT, 1 LOT@87500",36-100-2473,"87,500.00",
,1687,,PHILHEALTH XI,"PHIL AND HEALLY HUMAN STANDEE, 10@8500; CORPORATE FLAG, 10@10000",,"18,500.00",
,1688,02/07/25,DMSFI,"BANNER COLOR RED - MEDICAL TEAM, 7@400; TSHIRT W/ PRINT, 34@180",,"8,920.00",
,1689,02/11/25,NIA XI,"CUSTOMIZE LAYER W/ EMBROIDERY, 47@800; PLAQUE - GLASS, 9@1000",,"46,600.00",
,1690,01/03/25,DA-PRDP,"PROCUREMENT OF PRDP BRANDING, 405@530",,"214,650.00",CANCELLED
,1691,,DAR XI,"JACKET TOKEN, 25@1345",01-2024-12-212,"33,625.00",
,1692,01/03/25,DA-PRDP,PROCUREMENT OF PRDP BRANDING MATERIALS. 425@530,24-12-070,"225,250.00",
,1693,01/30/25,FPS TECH PHILIPPINES INC.,"SUPPLY & INSTALLATION, FABRICATION OF DOUBLE FACE LIGHTED BUILDUP 1ST HALF, 1 LOT@35000",,"35,000.00",CANCELLED
,1694,02/15/25,DAVAO CENTRAL CHEMICAL CORPORATION,"TARP, 30@72",,"2,160.00",
,1695,02/17/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"2,700.00",
,1696,02/17/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"20,320.00",
,1697,02/17/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"79,800.00",
,1698,02/17/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"70,400.00",
,1699,02/17/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"94,295.00",
,1700,02/17/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"19,560.00",
20,1701,,DMSFI CANCELLED,JACKET,,"1,300.00",
,1702,02/17/25,DMSFI,"TARP, 1@495",,495.00,
,1703, ,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"COTTON TSHIRT, 60@250; BOTTON PIN, 50@18; TOTEBAG, 50@180; PULLOUT BANNER, 3@450",,"26,250.00",
,1704,,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"INSULATED MUG, 50@240",222890,"12,000.00",
,1705,02/20/25,USEP,"POLOSHIRT, 33@550; TSHIRT, 15@350",2024-12-1082,"23,400.00",
,1706,02/20/25,JOLISA AGRIBUSINESS CORP/LIZA'S MEAT,"POLOSHIRT, 6@550",3335,"3,300.00",
,1707,02/26/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRT KHAKI, 668@265; POLOSHIRT KHAKI XL, 2XL, 175@290; POLOSHIRT 3XL, 10@3XL",223966,"230,970.00",
,1708,02/26/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,VARIOUS ITEMS,,"121,000.00",
,1709,02/20/25,USEP,"POLOSHIRT, 28@550; TSHIRT, 15@350",2024-12-1082,"20,650.00",
,1710,02/28/25,PSA DAVAO REGION,"POLOSHIRT W/ PRINT WOMENS MONTH, 54@430",SOCD-2025-02-04,"23,320.00",
,1711,03/03/25,PPA,"TSHIRT, 20@250",501-00741-25,"5,000.00",
,1712,02/28/25,USEP,"POLOSHIRT, 5@550",2024-12-1082,"1,750.00",
,1713,03/03/25,PHILHEALTH XI,"PLAQUE FOR DOLE XI, 1@2000",JO-25-02-11,"2,000.00",
,1714,03/03/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TARP, 4@450",,"1,800.00",
,1715,03/03/25,FPS TECH PHILIPPINES INC.,"TUMBLER, 14@900; PLAQUE, 4@550",,"14,800.00",
,1716,,BUREAU OF CORRECTION,"TSHIRT FOR CELEBRATION OF WOMANS MONTH 2025, 315@230",,"72,450.00",
,1717,03/05/25,ABREEZA BEE FODS CORP.,"OUTDOOR STICKER, 68@332.80",,332.80,
,1718,03/05/25,GENCORP INDUSTRIES INC,"OUTDOOR STICKER, 435@1327.55",1031-02-2025-182,"1,327.55",
,1719,03/03/25,BSP MRO,"TARPAULIN, 1@1000",6600001345,"1,000.00",
,1720,,NAPOLCOM XI,"POLOSHIRT, 44@600",,"26,400.00",
,1721,03/06/25,PCA XI,"POLOSHIRTS DRYFIT, 141@450",,"63,450.00",
,1722,03/06/25,FPS TECH PHILIPPINES INC.,"TABLE TOPPER BIG, 3@350; TABLE TOPPER SMALL, 3@250",,"1,800.00",
,1723,03/06/25,FPS TECH PHILIPPINES INC.,"TARP FOR ROLLUP, 3@450",,"1,350.00",
,1724,03/07/25,NIA XI,"POLOSHORT, 131@350",,"45,850.00",
,1725,,PCA XI,"ID LAMINATED W/ SLING, 141@280",2025-02-047,"39,480.00",
,1726,03/10/25,DILG XI,"FABRICATION OF GO BAG, 90@550",2025-02-034,"49,500.00",
,1727,,BFP XI,"TSHIRT POLO SUBLIMATION, 52@995; LONG SLEEVE W/ HOOD, 52@1185; JOGGING PANTS, 52@1185; BALL CAP, 52@798; BANER FABRIC, 1@2480",LOG2025-03-032,"218,956.00",
,1728,03/12/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"47,628.00",
,1729,03/12/25,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"25,290.00",
,1730,03/12/25,GENCORP INDUSTRIES INC,"OUTDOOR STICKER, 20@150",,150.00,
,1731,03/12/25,GENCORP INDUSTRIES INC,OUTDOOR STICKER,,"1,090.00",
,1732,03/12/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TSHIRT, 28@250",,"7,000.00",
,1733,02/28/25,FPS TECH PHILIPPINES INC.,"SUPPLY & INSTALLATION, FABRICATION OF DOUBLE FACE LIGHTED BUILDUP 2ND HALF, 1 LOT@35000",,"3,500.00",CANCELLED
,1734,03/13/25,FLATWORLD SOLUTIONS (PHILIPPINES) INC.,"TUMBLER, 3@650",,"1,950.00",
,1735,04/05/25,FPS TECH PHILIPPINES INC.,"JACKET, 1@1000",,"1,000.00",
,1736,03/13/25,IBEX GLOBAL SOLUTIONS PHILIPPINES INC.,"TSHIRT,L 3@250; POSTER SINTRA, 3@150",,"1,330.00",
,1737,03/21/25,DAVAO CENTRAL CHEMICAL CORPORATION,VARIOUS ITEMS,1744,"151,200.00",
,1738,03/21/25,CARAGA OIL REFINING CORP,"POLOSHIRTS, 126@500; PLAIN T SHIRTS W/ PRINT, 155@170; SHIRT, 5@1100",7966,"94,850.00",
,1739,3/21/25,DMSFI,POLO SHIRTS 60@550,,"33,000.00",
,1740,03/13/25,DMSFI,"JACKET, 15@850; JACKET SPECIAL SIZE, 1@1400",,"14,150.00",
,1741,03/14/25,FPS TECH PHILIPPINES INC.,"ROLLUP, 3@450",,"1,350.00",
,1742,03/24/25,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRT, 15@380",225442,"5,700.00",
,1743,03/24/25,PHILHEALTH XI,"NWMO TARP, 1@792; 2025 NWMC TARP, 4@445.50",25-02-022,"2,574.00",
,1744,,DMSFI,JACKET,,"1,950.00",
,1745,,DILG,"TARP, 1@190; ROLLUP, 1@1500",,"1,690.00",
,1746,03/25,PIA XI,"WOMENS MONTH SHIRTS, 16@350; PIA BANNER, 1@1000",2025-03-00001,"6,600.00",
,1747,03/25/25,FLATWORLD SOLUTIONS (PHILIPPINES) INC.,"KEYCHAIN, 116@75; NOTEBOOK, 21@120; CAP, 15@280",,"15,420.00",
